Location Name,Category,Region,Key Industries & Notes
Raffles Place,Business Area,Central,"Banking, Finance, Legal, Corporate HQs (Core CBD)"
Marina Bay Financial Centre,Business Area,Central,"Finance, Fintech, MNC HQs, Luxury Hospitality"
Tanjong Pagar,Business Area,Central,"Shipping, Insurance, Advertising, Mixed-use Commercial"
Suntec City / Beach Road,Business Area,Central,"Conventions, Tech, Media, Professional Services"
Orchard Road,Business Area,Central,"Retail, Hospitality, Private Wealth, Medical Suites"
HarbourFront / Keppel Bay,Business Area,South,"Maritime, Shipping, Conglomerates, Offshore Support"
Paya Lebar Quarter (PLQ),Business Area,East,"Regional HQs, Public Service, Retail, Mixed-use"
Changi Business Park (CBP),Business Area,East,"Back-end Banking, IT/Tech, Logistics, Aviation Offices"
One-North (Biopolis/Fusionopolis),Business Area,West,"R&D, Biomedical, Media, Infocomm Technology"
Punggol Digital District (SIT Campus),Business Area,North-East,"Higher Education, Cybersecurity, Smart City Tech, Digital Engineering"
International Business Park (IBP),Business Area,West,"Tech, Engineering HQs, Construction, Oil & Gas Offices"
Mapletree Business City,Business Area,South,"Tech HQs (Google/Cisco), Pharmaceuticals, FMCG"
Novena (Health City),Business Area,Central,"Healthcare, Medical Research, Pharmaceutical HQs"
Jurong Lake District,Business Area,West,"Second CBD, Public Agencies, Construction, Engineering Services"
Tuas Industrial Estate,Industrial Engineering,West,"Heavy Manufacturing, Marine, Biomedical, Oil & Gas"
Jurong Island,Industrial Engineering,West,"Petrochemicals, Refining, Energy, Chemical Processing"
Jurong Innovation District (JID),Industrial Engineering,West,"Advanced Manufacturing, Robotics, 3D Printing, R&D"
Pioneer / Gul Circle,Industrial Engineering,West,"Logistics, Heavy Engineering, Shipyards, Construction"
Sungei Kadut Eco-District,Industrial Engineering,North,"Timber, Furniture, Waste Management, Agri-tech"
Woodlands Industrial Park,Industrial Engineering,North,"Semiconductors, Precision Engineering, Food Mfg"
Senoko Industrial Estate,Industrial Engineering,North,"Power Generation, Food Manufacturing, Waste Management"
Seletar Aerospace Park,Industrial Engineering,North-East,"Aerospace MRO, Private Aviation, Engine Testing"
Ang Mo Kio Industrial Park,Industrial Engineering,North-East,"Electronics, Precision Engineering, Automotive"
Serangoon North,Industrial Engineering,North-East,"Semiconductors, Data Centers, Electronics"
Defu Industrial Estate,Industrial Engineering,North-East,"Light Manufacturing, Food Processing, Warehousing"
Kaki Bukit / Ubi,Industrial Engineering,East,"Light Industrial, Automotive, Tech Hardware, Warehousing"
Loyang / Changi North,Industrial Engineering,East,"Aerospace Logistics, Air Freight, Semiconductor Components"
Tai Seng / MacPherson,Industrial Engineering,Central-East,"Media Production, Light Manufacturing, BreadTalk HQ"
Kranji Industrial Estate,Industrial Engineering,North,"Construction Materials, Glass Manufacturing, Heavy Machinery"
Tampines Wafer Fab Park,Industrial Engineering,East,"Semiconductor Wafer Fabrication, Microelectronics"
Pasir Panjang,Industrial Engineering,South,"Port Terminals, Logistics, Warehousing, Supply Chain"
